              0	 28.800	 -8.800	 13.400	 22.100	 32.600	  0.688
              1	 26.700	-13.900	 12.700	 21.800	 35.401	  0.688
              2	 24.800	-18.700	 12.100	 21.300	 37.601	  0.688
              3	 23.800	-23.400	 11.500	 20.300	 39.001	  0.688
              4	 23.600	-27.900	 10.500	 18.600	 39.501	  0.688
              5	 23.700	-32.801	  8.700	 16.000	 39.301	  0.688
              6	 23.700	-38.101	  6.100	 12.700	 38.801	  0.688
              7	 23.700	-43.801	  2.900	  9.000	 38.201	  0.688
              8	 23.800	-49.301	 -0.300	  5.400	 37.501	  0.688
              9	 24.400	-54.001	 -3.200	  2.300	 36.601	  0.688
             10	 25.400	-57.501	 -5.300	  0.000	 35.301	  0.578
             11	 26.500	-59.501	 -6.400	 -1.600	 33.501	  0.578
             12	 27.400	-60.401	 -6.700	 -2.500	 31.600	  0.578
             13	 27.900	-60.501	 -6.200	 -2.900	 30.000	  0.578
             14	 28.300	-60.301	 -5.500	 -2.700	 29.100	  0.578
             15	 28.600	-59.701	 -4.700	 -1.900	 29.100	  0.578
             16	 28.900	-58.901	 -4.200	 -0.700	 29.600	  0.578
             17	 28.900	-57.601	 -4.000	  0.700	 30.100	  0.578
             18	 28.500	-55.701	 -3.800	  1.600	 29.700	  0.578
             19	 27.800	-53.001	 -3.600	  1.500	 27.800	  0.578
             20	 27.600	-49.401	 -3.300	  0.200	 24.100	  0.668
             21	 28.400	-44.901	 -3.000	 -2.100	 18.800	  0.668
             22	 30.400	-39.601	 -3.100	 -4.700	 12.600	  0.668
             23	 32.901	-33.701	 -3.800	 -6.900	  6.200	  0.668
             24	 34.701	-27.800	 -5.000	 -8.400	  0.100	  0.668
             25	 35.001	-22.200	 -6.400	 -9.300	 -4.900	  0.668
             26	 33.901	-17.200	 -7.700	 -9.900	 -8.700	  0.668
             27	 32.200	-12.900	 -8.400	-10.600	-11.200	  0.668
             28	 31.500	 -9.400	 -8.800	-11.300	-12.700	  0.668
             29	 32.801	 -6.600	 -8.800	-11.900	-13.400	  0.668
             30	 35.901	 -4.500	 -8.600	-12.200	-13.600	  0.680
             31	 39.901	 -2.700	 -8.500	-11.900	-13.500	  0.680
             32	 43.301	 -1.100	 -8.400	-11.300	-13.500	  0.680
             33	 45.101	  0.700	 -8.300	-10.600	-13.900	  0.680
             34	 45.401	  2.700	 -8.300	-10.300	-14.800	  0.680
