              0	  0.223
              1	  0.238
              2	  0.246
              3	  0.246
              4	  0.254
              5	  0.269
              6	  0.277
              7	  0.277
              8	  0.285
              9	  0.300
             10	  0.308
             11	  0.323
             12	  0.323
             13	  0.323
             14	  0.338
             15	  0.338
             16	  0.338
             17	  0.338
             18	  0.346
             19	  0.331
             20	  0.323
             21	  0.323
             22	  0.315
             23	  0.308
             24	  0.292
             25	  0.300
             26	  0.292
             27	  0.285
             28	  0.277
             29	  0.269
             30	  0.262
             31	  0.262
             32	  0.246
             33	  0.246
             34	  0.246
             35	  0.246
             36	  0.246
             37	  0.246
             38	  0.238
             39	  0.223
             40	  0.223
             41	  0.223
             42	  0.208
             43	  0.215
             44	  0.223
             45	  0.208
             46	  0.215
             47	  0.223
             48	  0.215
             49	  0.208
             50	  0.208
             51	  0.215
             52	  0.215
             53	  0.215
             54	  0.208
             55	  0.200
             56	  0.208
             57	  0.208
             58	  0.200
             59	  0.208
             60	  0.208
             61	  0.192
             62	  0.192
             63	  0.192
             64	  0.185
             65	  0.185
             66	  0.192
             67	  0.177
             68	  0.177
             69	  0.177
             70	  0.177
             71	  0.177
             72	  0.169
             73	  0.169
             74	  0.169
             75	  0.162
             76	  0.154
             77	  0.154
             78	  0.154
             79	  0.146
             80	  0.123
             81	  0.131
             82	  0.123
             83	  0.131
             84	  0.131
             85	  0.123
             86	  0.123
             87	  0.123
             88	  0.131
             89	  0.131
             90	  0.131
             91	  0.115
             92	  0.100
             93	  0.100
             94	  0.115
             95	  0.115
             96	  0.123
             97	  0.138
             98	  0.146
             99	  0.146
            100	  0.162
            101	  0.185
            102	  0.185
            103	  0.185
            104	  0.185
            105	  0.192
            106	  0.208
            107	  0.215
            108	  0.223
            109	  0.238
            110	  0.262
            111	  0.285
            112	  0.315
            113	  0.331
            114	  0.354
            115	  0.400
            116	  0.408
            117	  0.400
            118	  0.385
            119	  0.377
            120	  0.354
            121	  0.354
            122	  0.354
            123	  0.338
            124	  0.323
            125	  0.323
            126	  0.308
            127	  0.300
            128	  0.277
            129	  0.269
            130	  0.277
            131	  0.269
            132	  0.254
            133	  0.254
            134	  0.246
            135	  0.231
            136	  0.223
            137	  0.223
            138	  0.215
            139	  0.200
            140	  0.192
            141	  0.185
            142	  0.177
            143	  0.162
            144	  0.154
            145	  0.146
            146	  0.146
            147	  0.138
            148	  0.146
            149	  0.138
            150	  0.138
            151	  0.131
            152	  0.138
            153	  0.131
            154	  0.123
            155	  0.131
            156	  0.138
            157	  0.138
            158	  0.131
            159	  0.123
            160	  0.131
            161	  0.146
            162	  0.131
            163	  0.115
            164	  0.123
            165	  0.123
            166	  0.123
            167	  0.123
            168	  0.123
            169	  0.131
            170	  0.131
            171	  0.115
            172	  0.123
            173	  0.131
            174	  0.138
            175	  0.131
            176	  0.123
            177	  0.123
            178	  0.115
            179	  0.100
            180	  0.115
            181	  0.108
            182	  0.115
            183	  0.108
            184	  0.115
            185	  0.123
            186	  0.123
            187	  0.138
            188	  0.115
            189	  0.108
            190	  0.108
            191	  0.115
            192	  0.115
            193	  0.108
            194	  0.108
            195	  0.108
            196	  0.108
            197	  0.100
            198	  0.092
            199	  0.100
            200	  0.100
            201	  0.092
            202	  0.092
            203	  0.100
            204	  0.100
            205	  0.092
            206	  0.100
            207	  0.092
            208	  0.100
            209	  0.108
            210	  0.108
            211	  0.092
            212	  0.092
            213	  0.085
            214	  0.085
            215	  0.092
            216	  0.100
            217	  0.092
            218	  0.092
            219	  0.085
            220	  0.092
            221	  0.092
            222	  0.100
            223	  0.092
            224	  0.085
            225	  0.092
            226	  0.092
            227	  0.100
            228	  0.100
            229	  0.100
            230	  0.092
            231	  0.085
            232	  0.092
            233	  0.092
            234	  0.092
            235	  0.085
            236	  0.085
            237	  0.085
            238	  0.092
            239	  0.092
            240	  0.100
            241	  0.100
            242	  0.100
            243	  0.092
            244	  0.100
            245	  0.108
            246	  0.108
            247	  0.108
            248	  0.100
            249	  0.100
            250	  0.108
            251	  0.085
            252	  0.092
            253	  0.108
            254	  0.100
            255	  0.092
            256	  0.108
            257	  0.100
            258	  0.092
            259	  0.100
            260	  0.100
            261	  0.108
            262	  0.115
            263	  0.123
            264	  0.123
            265	  0.115
            266	  0.115
            267	  0.115
            268	  0.115
            269	  0.123
            270	  0.131
            271	  0.138
            272	  0.131
            273	  0.131
            274	  0.131
            275	  0.131
            276	  0.123
            277	  0.138
            278	  0.146
            279	  0.146
            280	  0.154
            281	  0.169
            282	  0.169
            283	  0.169
            284	  0.169
            285	  0.169
            286	  0.177
            287	  0.169
            288	  0.169
            289	  0.177
            290	  0.169
            291	  0.169
            292	  0.169
            293	  0.177
            294	  0.169
            295	  0.162
            296	  0.169
            297	  0.177
            298	  0.177
            299	  0.185
            300	  0.185
            301	  0.192
            302	  0.185
            303	  0.185
            304	  0.200
            305	  0.192
            306	  0.185
            307	  0.192
            308	  0.185
            309	  0.177
            310	  0.185
            311	  0.185
            312	  0.185
            313	  0.192
            314	  0.192
            315	  0.192
            316	  0.200
            317	  0.200
            318	  0.200
            319	  0.192
            320	  0.192
            321	  0.185
            322	  0.192
            323	  0.192
            324	  0.185
            325	  0.192
            326	  0.192
            327	  0.185
            328	  0.192
            329	  0.192
            330	  0.208
            331	  0.215
            332	  0.208
            333	  0.208
            334	  0.215
            335	  0.215
            336	  0.200
            337	  0.200
            338	  0.208
            339	  0.208
            340	  0.215
            341	  0.231
            342	  0.231
            343	  0.215
            344	  0.215
            345	  0.200
            346	  0.200
            347	  0.200
            348	  0.208
            349	  0.215
            350	  0.208
            351	  0.208
            352	  0.208
            353	  0.208
            354	  0.208
            355	  0.208
            356	  0.208
            357	  0.215
            358	  0.215
            359	  0.215
            360	  0.223
            361	  0.223
            362	  0.215
            363	  0.208
            364	  0.215
            365	  0.215
            366	  0.215
            367	  0.208
            368	  0.192
            369	  0.192
            370	  0.208
            371	  0.208
            372	  0.200
            373	  0.192
            374	  0.200
            375	  0.200
            376	  0.208
            377	  0.215
            378	  0.215
            379	  0.215
            380	  0.223
            381	  0.223
            382	  0.215
            383	  0.223
            384	  0.215
            385	  0.215
            386	  0.208
            387	  0.208
            388	  0.192
            389	  0.200
            390	  0.208
            391	  0.200
            392	  0.192
            393	  0.200
            394	  0.200
            395	  0.215
            396	  0.215
            397	  0.200
            398	  0.208
            399	  0.215
            400	  0.208
            401	  0.208
            402	  0.215
            403	  0.223
            404	  0.208
            405	  0.200
            406	  0.208
            407	  0.208
            408	  0.200
            409	  0.192
            410	  0.200
            411	  0.200
            412	  0.200
            413	  0.208
            414	  0.215
            415	  0.215
            416	  0.208
            417	  0.208
            418	  0.208
            419	  0.208
            420	  0.208
            421	  0.215
            422	  0.208
            423	  0.208
            424	  0.208
            425	  0.223
            426	  0.215
            427	  0.215
            428	  0.215
            429	  0.215
            430	  0.215
            431	  0.215
            432	  0.223
            433	  0.223
            434	  0.215
            435	  0.215
            436	  0.215
            437	  0.223
            438	  0.215
            439	  0.215
            440	  0.223
            441	  0.215
            442	  0.208
            443	  0.215
            444	  0.215
            445	  0.223
            446	  0.215
            447	  0.215
            448	  0.223
            449	  0.215
            450	  0.208
            451	  0.215
            452	  0.223
            453	  0.208
            454	  0.215
            455	  0.231
            456	  0.223
            457	  0.223
            458	  0.231
            459	  0.223
            460	  0.223
            461	  0.231
            462	  0.231
            463	  0.246
            464	  0.262
            465	  0.277
            466	  0.277
            467	  0.292
            468	  0.308
            469	  0.323
            470	  0.323
            471	  0.323
            472	  0.331
            473	  0.362
            474	  0.377
            475	  0.369
            476	  0.385
            477	  0.400
            478	  0.423
            479	  0.438
            480	  0.454
            481	  0.477
            482	  0.508
            483	  0.515
            484	  0.523
            485	  0.523
            486	  0.546
            487	  0.562
            488	  0.562
            489	  0.577
            490	  0.585
            491	  0.592
            492	  0.600
            493	  0.608
            494	  0.608
            495	  0.608
            496	  0.631
            497	  0.631
            498	  0.631
            499	  0.646
            500	  0.662
            501	  0.669
            502	  0.669
            503	  0.685
            504	  0.685
            505	  0.685
